arm,sweepId,rootSeed,cellIndex,replicateIndex,runSeed,strategy,status,terminalReason,ticksRun,invitations,referenceNodesKnown,referenceLibraryDepth,referenceGrimoires,referenceKnowledgeInstances,referenceLivingMages,referencePopulation
draconic-seeker,w109-alliance-v1,20260813,0,0,3229639303,alliance-seeker,stagnated,3,1185,0,70,70,346,480,3,11
draconic-seeker,w109-alliance-v1,20260813,0,1,1589107768,alliance-seeker,stagnated,3,1186,0,70,69,402,596,4,11
draconic-seeker,w109-alliance-v1,20260813,0,2,4243543529,alliance-seeker,stagnated,3,1185,0,70,70,473,649,4,8
draconic-seeker,w109-alliance-v1,20260813,0,3,2603011994,alliance-seeker,stagnated,3,1201,0,70,70,517,680,3,11
draconic-seeker,w109-alliance-v1,20260813,0,4,962480459,alliance-seeker,stagnated,3,1411,0,70,0,0,88,2,13
draconic-seeker,w109-alliance-v1,20260813,0,5,3616916220,alliance-seeker,stagnated,3,1185,0,70,70,386,558,4,12
draconic-seeker,w109-alliance-v1,20260813,0,6,1976384685,alliance-seeker,stagnated,3,1153,0,70,70,373,531,5,15
draconic-seeker,w109-alliance-v1,20260813,0,7,335853150,alliance-seeker,stagnated,3,1217,0,70,70,427,599,4,16
draconic-seeker,w109-alliance-v1,20260813,0,8,2990288911,alliance-seeker,stagnated,3,1185,0,70,0,0,189,4,11
draconic-seeker,w109-alliance-v1,20260813,0,9,1349757376,alliance-seeker,stagnated,3,1169,0,70,70,470,601,5,6
draconic-seeker,w109-alliance-v1,20260813,0,10,4004193137,alliance-seeker,stagnated,3,1185,0,70,0,0,165,4,12
draconic-seeker,w109-alliance-v1,20260813,0,11,2363661602,alliance-seeker,stagnated,3,1217,0,70,0,0,108,4,15
draconic-seeker,w109-alliance-v1,20260813,0,12,723130067,alliance-seeker,stagnated,3,1153,0,70,0,0,132,4,11
draconic-seeker,w109-alliance-v1,20260813,0,13,3377565828,alliance-seeker,stagnated,3,1169,0,70,0,0,124,4,14
draconic-seeker,w109-alliance-v1,20260813,0,14,1737034293,alliance-seeker,stagnated,3,1217,0,70,0,0,202,4,16
draconic-seeker,w109-alliance-v1,20260813,0,15,96502758,alliance-seeker,stagnated,3,1217,0,70,70,350,520,4,16
draconic-seeker,w109-alliance-v1,20260813,0,16,2750938519,alliance-seeker,stagnated,3,1185,0,70,0,0,165,4,12
draconic-seeker,w109-alliance-v1,20260813,0,17,1110406984,alliance-seeker,stagnated,3,1185,0,70,0,0,143,5,8
draconic-seeker,w109-alliance-v1,20260813,0,18,3764842745,alliance-seeker,stagnated,3,1185,0,70,0,0,184,4,13
draconic-seeker,w109-alliance-v1,20260813,0,19,2124311210,alliance-seeker,stagnated,3,1169,0,70,0,0,148,5,10
draconic-seeker,w109-alliance-v1,20260813,0,20,483779675,alliance-seeker,stagnated,3,1185,0,70,0,0,142,5,8
draconic-seeker,w109-alliance-v1,20260813,0,21,3138215436,alliance-seeker,stagnated,3,1186,0,70,17,17,220,4,17
draconic-seeker,w109-alliance-v1,20260813,0,22,1497683901,alliance-seeker,stagnated,3,1169,0,70,0,0,108,5,14
draconic-seeker,w109-alliance-v1,20260813,0,23,4152119662,alliance-seeker,stagnated,3,1185,0,70,0,0,138,5,8
draconic-seeker,w109-alliance-v1,20260813,0,24,2511588127,alliance-seeker,stagnated,3,1185,0,70,0,0,162,4,14
draconic-seeker,w109-alliance-v1,20260813,0,25,871056592,alliance-seeker,stagnated,3,1411,0,70,0,0,148,3,14
draconic-seeker,w109-alliance-v1,20260813,0,26,3525492353,alliance-seeker,stagnated,3,1169,0,70,0,0,148,5,9
draconic-seeker,w109-alliance-v1,20260813,0,27,1884960818,alliance-seeker,stagnated,3,1169,0,70,70,470,618,5,9
draconic-seeker,w109-alliance-v1,20260813,0,28,244429283,alliance-seeker,stagnated,3,1186,0,70,6,6,189,4,12
draconic-seeker,w109-alliance-v1,20260813,0,29,2898865044,alliance-seeker,stagnated,3,1169,0,70,0,0,141,5,11
draconic-seeker,w109-alliance-v1,20260813,0,30,1258333509,alliance-seeker,stagnated,3,1185,0,70,0,0,166,4,19
draconic-seeker,w109-alliance-v1,20260813,0,31,3912769270,alliance-seeker,stagnated,3,1185,0,70,0,0,183,4,16
draconic-seeker,w109-alliance-v1,20260813,0,32,2272237735,alliance-seeker,stagnated,3,1169,0,70,0,0,148,5,14
draconic-seeker,w109-alliance-v1,20260813,0,33,631706200,alliance-seeker,stagnated,3,1169,0,70,0,0,108,5,13
draconic-seeker,w109-alliance-v1,20260813,0,34,3286141961,alliance-seeker,stagnated,3,1153,0,70,0,0,166,4,12
draconic-seeker,w109-alliance-v1,20260813,0,35,1645610426,alliance-seeker,stagnated,3,1201,0,70,0,0,166,4,15
draconic-seeker,w109-alliance-v1,20260813,0,36,5078891,alliance-seeker,stagnated,3,1185,0,70,0,0,138,5,13
draconic-seeker,w109-alliance-v1,20260813,0,37,2659514652,alliance-seeker,stagnated,3,1201,0,70,0,0,186,4,22
draconic-seeker,w109-alliance-v1,20260813,0,38,1018983117,alliance-seeker,stagnated,3,1169,0,70,0,0,149,5,10
draconic-seeker,w109-alliance-v1,20260813,0,39,3673418878,alliance-seeker,stagnated,3,1185,0,70,0,0,102,4,16
draconic-seeker,w109-alliance-v1,20260813,0,40,2032887343,alliance-seeker,stagnated,3,1169,0,70,0,0,108,5,13
draconic-seeker,w109-alliance-v1,20260813,0,41,392355808,alliance-seeker,stagnated,3,1185,0,70,0,0,148,3,12
draconic-seeker,w109-alliance-v1,20260813,0,42,3046791569,alliance-seeker,stagnated,3,1169,0,70,0,0,147,5,10
draconic-seeker,w109-alliance-v1,20260813,0,43,1406260034,alliance-seeker,stagnated,3,1362,0,70,0,0,74,4,12
draconic-seeker,w109-alliance-v1,20260813,0,44,4060695795,alliance-seeker,stagnated,3,1185,0,70,0,0,84,5,12
draconic-seeker,w109-alliance-v1,20260813,0,45,2420164260,alliance-seeker,stagnated,3,1169,0,70,0,0,104,4,11
draconic-seeker,w109-alliance-v1,20260813,0,46,779632725,alliance-seeker,stagnated,3,1169,0,70,0,0,98,3,17
draconic-seeker,w109-alliance-v1,20260813,0,47,3434068486,alliance-seeker,stagnated,3,1153,0,70,0,0,157,5,12
draconic-seeker,w109-alliance-v1,20260813,0,48,1793536951,alliance-seeker,stagnated,3,1217,0,70,70,370,575,4,17
draconic-seeker,w109-alliance-v1,20260813,0,49,153005416,alliance-seeker,stagnated,3,1169,0,70,0,0,130,4,10
draconic-seeker,w109-alliance-v1,20260813,0,50,2807441177,alliance-seeker,stagnated,3,1186,0,70,69,314,508,4,12
draconic-seeker,w109-alliance-v1,20260813,0,51,1166909642,alliance-seeker,stagnated,3,1186,0,70,0,0,202,4,13
draconic-seeker,w109-alliance-v1,20260813,0,52,3821345403,alliance-seeker,stagnated,3,1169,0,70,0,0,101,4,18
draconic-seeker,w109-alliance-v1,20260813,0,53,2180813868,alliance-seeker,stagnated,3,1185,0,70,0,0,108,3,12
draconic-seeker,w109-alliance-v1,20260813,0,54,540282333,alliance-seeker,stagnated,3,1201,0,70,0,0,166,4,15
draconic-seeker,w109-alliance-v1,20260813,0,55,3194718094,alliance-seeker,stagnated,3,1169,0,70,0,0,146,5,9
draconic-seeker,w109-alliance-v1,20260813,0,56,1554186559,alliance-seeker,stagnated,3,1169,0,70,0,0,108,5,13
draconic-seeker,w109-alliance-v1,20260813,0,57,4208622320,alliance-seeker,stagnated,3,1185,0,70,0,0,142,5,8
draconic-seeker,w109-alliance-v1,20260813,0,58,2568090785,alliance-seeker,stagnated,3,1169,0,70,0,0,101,4,18
draconic-seeker,w109-alliance-v1,20260813,0,59,927559250,alliance-seeker,stagnated,3,1169,0,70,0,0,98,3,14
draconic-seeker,w109-alliance-v1,20260813,0,60,3581995011,alliance-seeker,stagnated,3,1153,0,70,0,0,166,4,11
draconic-seeker,w109-alliance-v1,20260813,0,61,1941463476,alliance-seeker,stagnated,3,1233,0,70,70,323,427,3,10
draconic-seeker,w109-alliance-v1,20260813,0,62,300931941,alliance-seeker,stagnated,3,1169,0,70,70,437,549,4,12
draconic-seeker,w109-alliance-v1,20260813,0,63,2955367702,alliance-seeker,stagnated,3,1201,0,70,70,373,540,3,12
draconic-seeker,w109-alliance-v1,20260813,0,64,1314836167,alliance-seeker,stagnated,3,1186,0,70,0,0,192,4,12
draconic-seeker,w109-alliance-v1,20260813,0,65,3969271928,alliance-seeker,stagnated,3,1186,0,70,0,0,185,4,14
draconic-seeker,w109-alliance-v1,20260813,0,66,2328740393,alliance-seeker,stagnated,3,1185,0,70,0,0,166,4,15
draconic-seeker,w109-alliance-v1,20260813,0,67,688208858,alliance-seeker,stagnated,3,1169,0,70,70,485,632,5,11
draconic-seeker,w109-alliance-v1,20260813,0,68,3342644619,alliance-seeker,stagnated,3,1185,0,70,0,0,185,4,15
draconic-seeker,w109-alliance-v1,20260813,0,69,1702113084,alliance-seeker,stagnated,3,1153,0,70,0,0,157,5,10
draconic-seeker,w109-alliance-v1,20260813,0,70,61581549,alliance-seeker,stagnated,3,1186,0,70,0,0,173,3,9
draconic-seeker,w109-alliance-v1,20260813,0,71,2716017310,alliance-seeker,stagnated,3,1186,0,70,69,434,626,4,10
draconic-seeker,w109-alliance-v1,20260813,0,72,1075485775,alliance-seeker,stagnated,3,1185,0,70,0,0,174,4,9
draconic-seeker,w109-alliance-v1,20260813,0,73,3729921536,alliance-seeker,stagnated,3,1169,0,70,0,0,139,5,11
draconic-seeker,w109-alliance-v1,20260813,0,74,2089390001,alliance-seeker,stagnated,3,1169,0,70,0,0,148,5,9
draconic-seeker,w109-alliance-v1,20260813,0,75,448858466,alliance-seeker,stagnated,3,1185,0,70,0,0,71,4,11
draconic-seeker,w109-alliance-v1,20260813,0,76,3103294227,alliance-seeker,stagnated,3,1169,0,70,0,0,149,5,7
draconic-seeker,w109-alliance-v1,20260813,0,77,1462762692,alliance-seeker,stagnated,3,1169,0,70,0,0,138,4,8
draconic-seeker,w109-alliance-v1,20260813,0,78,4117198453,alliance-seeker,stagnated,3,1185,0,70,0,0,174,4,11
